size,m,n,rs_a,cs_a,rs_c,cs_c,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,16,1,16,1,2.560e+02,2.560e+00,2.048e+03,2.048e+01,1.000e+02
32,32,32,32,1,32,1,1.024e+03,2.560e+00,8.192e+03,2.048e+01,4.000e+02
48,48,48,48,1,48,1,2.304e+03,2.880e+00,1.843e+04,2.304e+01,8.000e+02
64,64,64,64,1,64,1,4.096e+03,2.560e+00,3.277e+04,2.048e+01,1.600e+03
80,80,80,80,1,80,1,6.400e+03,2.560e+00,5.120e+04,2.048e+01,2.500e+03
96,96,96,96,1,96,1,9.216e+03,2.560e+00,7.373e+04,2.048e+01,3.600e+03
112,112,112,112,1,112,1,1.254e+04,1.767e+00,1.004e+05,1.413e+01,7.100e+03
128,128,128,128,1,128,1,1.638e+04,3.957e-01,1.311e+05,3.166e+00,4.140e+04
144,144,144,144,1,144,1,2.074e+04,2.356e+00,1.659e+05,1.885e+01,8.800e+03
160,160,160,160,1,160,1,2.560e+04,2.349e+00,2.048e+05,1.879e+01,1.090e+04
176,176,176,176,1,176,1,3.098e+04,2.625e+00,2.478e+05,2.100e+01,1.180e+04
192,192,192,192,1,192,1,3.686e+04,1.276e+00,2.949e+05,1.020e+01,2.890e+04
208,208,208,208,1,208,1,4.326e+04,2.654e+00,3.461e+05,2.123e+01,1.630e+04
224,224,224,224,1,224,1,5.018e+04,2.547e+00,4.014e+05,2.038e+01,1.970e+04
240,240,240,240,1,240,1,5.760e+04,2.667e+00,4.608e+05,2.133e+01,2.160e+04
256,256,256,256,1,256,1,6.554e+04,3.839e-01,5.243e+05,3.071e+00,1.707e+05
272,272,272,272,1,272,1,7.398e+04,2.102e+00,5.919e+05,1.681e+01,3.520e+04
288,288,288,288,1,288,1,8.294e+04,1.565e+00,6.636e+05,1.252e+01,5.300e+04
304,304,304,304,1,304,1,9.242e+04,1.975e+00,7.393e+05,1.580e+01,4.680e+04
320,320,320,320,1,320,1,1.024e+05,1.235e+00,8.192e+05,9.882e+00,8.290e+04
336,336,336,336,1,336,1,1.129e+05,1.930e+00,9.032e+05,1.544e+01,5.850e+04
352,352,352,352,1,352,1,1.239e+05,1.258e+00,9.912e+05,1.006e+01,9.850e+04
368,368,368,368,1,368,1,1.354e+05,1.910e+00,1.083e+06,1.528e+01,7.090e+04
384,384,384,384,1,384,1,1.475e+05,7.015e-01,1.180e+06,5.612e+00,2.102e+05
400,400,400,400,1,400,1,1.600e+05,1.831e+00,1.280e+06,1.465e+01,8.740e+04
416,416,416,416,1,416,1,1.731e+05,1.236e+00,1.384e+06,9.889e+00,1.400e+05
432,432,432,432,1,432,1,1.866e+05,1.853e+00,1.493e+06,1.483e+01,1.007e+05
448,448,448,448,1,448,1,2.007e+05,1.219e+00,1.606e+06,9.749e+00,1.647e+05
464,464,464,464,1,464,1,2.153e+05,1.732e+00,1.722e+06,1.386e+01,1.243e+05
480,480,480,480,1,480,1,2.304e+05,1.174e+00,1.843e+06,9.394e+00,1.962e+05
496,496,496,496,1,496,1,2.460e+05,1.802e+00,1.968e+06,1.442e+01,1.365e+05
512,512,512,512,1,512,1,2.621e+05,2.847e-01,2.097e+06,2.277e+00,9.209e+05
528,528,528,528,1,528,1,2.788e+05,1.707e+00,2.230e+06,1.366e+01,1.633e+05
544,544,544,544,1,544,1,2.959e+05,1.218e+00,2.367e+06,9.747e+00,2.429e+05
560,560,560,560,1,560,1,3.136e+05,1.455e+00,2.509e+06,1.164e+01,2.155e+05
576,576,576,576,1,576,1,3.318e+05,1.186e+00,2.654e+06,9.489e+00,2.797e+05
592,592,592,592,1,592,1,3.505e+05,1.325e+00,2.804e+06,1.060e+01,2.646e+05
608,608,608,608,1,608,1,3.697e+05,1.212e+00,2.957e+06,9.696e+00,3.050e+05
624,624,624,624,1,624,1,3.894e+05,1.287e+00,3.115e+06,1.030e+01,3.025e+05
640,640,640,640,1,640,1,4.096e+05,5.943e-01,3.277e+06,4.754e+00,6.892e+05
656,656,656,656,1,656,1,4.303e+05,1.256e+00,3.443e+06,1.005e+01,3.426e+05
672,672,672,672,1,672,1,4.516e+05,1.178e+00,3.613e+06,9.428e+00,3.832e+05
688,688,688,688,1,688,1,4.733e+05,1.222e+00,3.787e+06,9.772e+00,3.875e+05
704,704,704,704,1,704,1,4.956e+05,1.148e+00,3.965e+06,9.180e+00,4.319e+05
720,720,720,720,1,720,1,5.184e+05,1.229e+00,4.147e+06,9.830e+00,4.219e+05
736,736,736,736,1,736,1,5.417e+05,1.174e+00,4.334e+06,9.392e+00,4.614e+05
752,752,752,752,1,752,1,5.655e+05,1.227e+00,4.524e+06,9.814e+00,4.610e+05
768,768,768,768,1,768,1,5.898e+05,3.626e-01,4.719e+06,2.901e+00,1.627e+06
784,784,784,784,1,784,1,6.147e+05,1.223e+00,4.917e+06,9.784e+00,5.026e+05
800,800,800,800,1,800,1,6.400e+05,1.172e+00,5.120e+06,9.374e+00,5.462e+05
816,816,816,816,1,816,1,6.659e+05,1.214e+00,5.327e+06,9.710e+00,5.486e+05
832,832,832,832,1,832,1,6.922e+05,1.160e+00,5.538e+06,9.279e+00,5.968e+05
848,848,848,848,1,848,1,7.191e+05,1.221e+00,5.753e+06,9.770e+00,5.888e+05
864,864,864,864,1,864,1,7.465e+05,1.173e+00,5.972e+06,9.381e+00,6.366e+05
880,880,880,880,1,880,1,7.744e+05,1.216e+00,6.195e+06,9.73